"","FileFormat","FileSize","DatasetType","SurveyNum","SurveyId","FileType","FileDateLastModified","SurveyYearLabel","SurveyType","SurveyYear","DHS_CountryCode","FileName","CountryName","URLS","Africa","avail"
"559","Stata dataset (.dta)","1457562","Survey Datasets","38","CM1991DHS","Births Recode","May, 16 2007 10:42:12","1991","DHS","1991","CM","CMBR22dt.zip","Cameroon","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CMBR22DT.zip&Tp=1&Ctry_Code=CM&surv_id=38&dm=1&dmode=nm",1,"publicly available"
"563","Stata dataset (.dta)","1930242","Survey Datasets","101","CM1998DHS","Births Recode","May, 16 2007 10:56:22","1998","DHS","1998","CM","CMBR31dt.zip","Cameroon","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CMBR31DT.zip&Tp=1&Ctry_Code=CM&surv_id=101&dm=1&dmode=nm",1,"publicly available"
"567","Stata dataset (.dta)","3602162","Survey Datasets","232","CM2004DHS","Births Recode","May, 09 2008 15:54:20","2004","DHS","2004","CM","CMBR44dt.zip","Cameroon","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CMBR44DT.zip&Tp=1&Ctry_Code=CM&surv_id=232&dm=1&dmode=nm",1,"publicly available"
"571","Stata dataset (.dta)","5482690","Survey Datasets","337","CM2011DHS","Births Recode","March, 30 2017 15:16:52","2011","DHS","2011","CM","CMBR61DT.ZIP","Cameroon","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CMBR61DT.zip&Tp=1&Ctry_Code=CM&surv_id=337&dm=1&dmode=nm",1,"publicly available"
"709","Flat ASCII data (.dat)","18217","GPS Datasets","38","CM1991DHS","Geographic Data","March, 05 2012 18:26:54","1991","DHS","1991","CM","CMGE23FL.zip","Cameroon","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CMGE23FL.zip&Tp=2&Ctry_Code=CM&surv_id=38&dm=1&dmode=nm",1,"publicly available"
"710","Flat ASCII data (.dat)","110184","GPS Datasets","232","CM2004DHS","Geographic Data","March, 05 2012 18:26:54","2004","DHS","2004","CM","CMGE42FL.zip","Cameroon","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CMGE42FL.zip&Tp=2&Ctry_Code=CM&surv_id=232&dm=1&dmode=nm",1,"publicly available"
"711","Flat ASCII data (.dat)","62033","GPS Datasets","337","CM2011DHS","Geographic Data","April, 24 2017 10:37:56","2011","DHS","2011","CM","CMGE61FL.zip","Cameroon","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CMGE61FL.zip&Tp=2&Ctry_Code=CM&surv_id=337&dm=1&dmode=nm",1,"publicly available"
"712","Stata dataset (.dta)","2275508","Survey Datasets","66","CF1994DHS","Births Recode","May, 16 2007 09:21:58","1994-95","DHS","1994","CF","CFBR31dt.zip","Central African Republic","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CFBR31DT.zip&Tp=1&Ctry_Code=CF&surv_id=66&dm=1&dmode=nm",1,"publicly available"
"757","Flat ASCII data (.dat)","20042","GPS Datasets","66","CF1994DHS","Geographic Data","March, 05 2012 18:26:54","1994-95","DHS","1994","CF","CFGE33FL.zip","Central African Republic","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CFGE33FL.zip&Tp=2&Ctry_Code=CF&surv_id=66&dm=1&dmode=nm",1,"publicly available"
"758","Stata dataset (.dta)","3197473","Survey Datasets","83","TD1997DHS","Births Recode","May, 23 2007 10:58:52","1996-97","DHS","1997","TD","TDBR31dt.zip","Chad","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=TDBR31DT.zip&Tp=1&Ctry_Code=TD&surv_id=83&dm=1&dmode=nm",1,"publicly available"
"762","Stata dataset (.dta)","2671197","Survey Datasets","215","TD2004DHS","Births Recode","June, 18 2009 09:22:22","2004","DHS","2004","TD","TDBR41dt.zip","Chad","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=TDBR41DT.zip&Tp=1&Ctry_Code=TD&surv_id=215&dm=1&dmode=nm",1,"publicly available"
"766","Stata dataset (.dta)","7007491","Survey Datasets","465","TD2014DHS","Births Recode","October, 27 2016 08:08:19","2014-15","DHS","2014","TD","TDBR71DT.ZIP","Chad","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=TDBR71DT.zip&Tp=1&Ctry_Code=TD&surv_id=465&dm=1&dmode=nm",1,"publicly available"
"873","Flat ASCII data (.dat)","70009","GPS Datasets","465","TD2014DHS","Geographic Data","March, 08 2017 11:14:38","2014-15","DHS","2014","TD","TDGE71FL.zip","Chad","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=TDGE71FL.zip&Tp=2&Ctry_Code=TD&surv_id=465&dm=1&dmode=nm",1,"publicly available"
"874","Stata dataset (.dta)","1085309","Survey Datasets","93","KM1996DHS","Births Recode","May, 18 2007 13:17:18","1996","DHS","1996","KM","KMBR32dt.zip","Comoros","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=KMBR32DT.zip&Tp=1&Ctry_Code=KM&surv_id=93&dm=1&dmode=nm",1,"publicly available"
"878","Stata dataset (.dta)","1732331","Survey Datasets","443","KM2012DHS","Births Recode","June, 06 2014 15:26:45","2012","DHS","2012","KM","KMBR61DT.ZIP","Comoros","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=KMBR61DT.zip&Tp=1&Ctry_Code=KM&surv_id=443&dm=1&dmode=nm",1,"publicly available"
"944","Flat ASCII data (.dat)","31088","GPS Datasets","443","KM2012DHS","Geographic Data","June, 16 2014 14:33:49","2012","DHS","2012","KM","KMGE61FL.ZIP","Comoros","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=KMGE61FL.zip&Tp=2&Ctry_Code=KM&surv_id=443&dm=1&dmode=nm",1,"publicly available"
"945","Stata dataset (.dta)","2781667","Survey Datasets","267","CG2005DHS","Births Recode","February, 16 2010 14:23:52","2005","DHS","2005","CG","CGBR51DT.ZIP","Congo","https://dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=CGBR51DT.zip&Tp=1&Ctry_Code=CG&surv_id=267&dm=1&dmode=nm",1,"publicly available"
